video_folder,avg_mean_magnitude,avg_variance_magnitude
HaxA7YrQdEC,8.045463,195.59398
FnSn2KSrALj,5.0008793,167.03972
X4qjx5vquwH,7.5432606,199.14037
dHwjuKfkRUR,9.284238,530.38306
bxsVRursffK,3.7577097,120.996666
mv2HUxq3B53,11.44916,249.48157
bzCsHPLDztK,10.142397,405.01175
TPhiubUHKcP,7.844736,339.0187
6s7QHgap2fW,3.1954968,108.94631
XB4GS9ShBRE,5.2833056,140.33028
zt1RVoi7PcG,7.0443935,170.09468
hDBqLgydy1n,11.283722,492.42624
b28CWbpQvor,12.323752,274.23154
cYkrGrCg2kB,10.37481,126.72222
svBbv1Pavdk,4.7679367,135.07765
eF36g7L6Z9M,11.624858,262.44266
LT9Jq6dN3Ea,7.9462676,239.30455
BFRyYbPCCPE,8.691986,113.43923
q3zU7Yy5E5s,11.900068,145.12488
hkr2MGpHD6B,8.695247,141.03754
HMkoS756sz6,6.3712983,151.1137
BAbdmeyTvMZ,7.019328,197.24248
LNg5mXe1BDj,8.565783,159.50648
uSKXQ5fFg6u,5.4325113,123.29531
cvZr5TUy5C5,7.4832745,253.44142
AYpsNQsWncn,9.363318,238.83884
SUHsP6z2gcJ,8.438831,537.1781
RJaJt8UjXav,4.609849,184.92717
7UrtFsADwob,7.8683314,182.62328
W7k2QWzBrFY,7.9084706,166.48106
T6nG3E2Uui9,8.02212,190.21515
yZME6UR9dUN,9.911296,322.3211
QHhQZWdMpGJ,9.551556,215.79005
kJJyRFXVpx2,2.3424234,54.900764
mma8eWq3nNQ,10.911685,231.1195
5jp3fCRSRjc,7.654971,180.83794
7MXmsvcQjpJ,11.364453,261.4749
LEFTm3JecaC,5.536765,187.46591
Qpor2mEya8F,7.757144,159.9111
p53SfW6mjZe,6.9213805,228.8772
vd3HHTEpmyA,6.166617,491.7401
c3WKCnkEdha,8.409402,359.78107
5cdEh9F2hJL,9.536759,252.66013
Dd4bFSTQ8gi,7.8587317,106.386795
c5eTyR3Rxyh,6.367769,183.6589
rsggHU7g7dh,8.444659,210.1706
bCPU9suPUw9,5.4773507,138.54968
a8BtkwhxdRV,8.724333,186.83508
uLz9jNga3kC,7.024856,145.48015
wcojb4TFT35,8.1172695,108.942215
y9hTuugGdiq,5.897023,271.3387
Nfvxx8J5NCo,5.0371704,154.50717
rJhMRvNn4DS,6.2107415,522.29944
GLAQ4DNUx5U,9.681326,587.70746
tQ5s4ShP627,9.16836,265.47046
nrA1tAA17Yp,7.8308077,128.60812
q3hn1WQ12rz,6.1564293,202.63388
ziup5kvtCCR,5.538283,189.78763
66seV3BWPoX,9.674955,280.4339
rXXL6twQiWc,4.781848,106.16614
SiKqEZx7Ejt,8.874774,206.6113
q5QZSEeHe5g,6.569972,173.8185
VBzV5z6i1WS,7.8611403,140.86043
